company,sector,horizon_days,amount,date_BUY_fix,date_SELL_fix,price_BUY,price_SELL,Volatility_Buy,Volatility_sell,Sharpe_Ratio,expected_return_yearly,inflation,nominal_return,investment,ESG_ranking,PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,roa_ratio,roe_ratio
HOG,AUTO,70,1500,2014-05-09,2014-07-18,59.96651840209961,56.177276611328125,0.2001113055886909,0.1915369295059061,0.2001113055886909,0.0085474466720119,-0.15,-0.0631892911534916,0,16.3,15.87,3.49,2.04,3.83,12.82,1.53,8.1,26.15
AXP,BANK,70,5000,2015-01-12,2015-03-23,81.28569030761719,74.6556625366211,0.18358220391019,0.1960221124711076,0.18358220391019,0.0282362508670049,-0.5,-0.0815645133344558,0,19.8,15.19,5.55,2.48,4.17,16.27,2.23,3.79,28.81
KSS,RETAIL,120,10000,2016-12-06,2017-04-05,46.21188735961914,31.941463470458984,0.4229401999696119,0.4362616704611303,0.4229401999696119,0.0022535591421896,-0.2,-0.3088041779836487,0,12.9,11.09,3.27,0.36,1.25,3.17,1.6,4.41,11.35
BBY,RETAIL,100,25000,2018-06-22,2018-10-01,71.25968170166016,74.25562286376953,0.3230542764024471,0.2781403817204387,0.3230542764024471,0.0718625886866412,1.68,0.0420425841172341,0,12.0,20.88,3.4,0.5,5.83,2.39,1.27,7.65,26.27
PEP,FMCG,270,300,2015-02-25,2015-11-23,83.44689178466797,86.4389877319336,0.1313076459104703,0.1535238326378517,0.1313076459104703,0.0587368562638346,-0.5,0.0358562899500994,1,17.6,18.57,4.27,1.82,6.72,9.75,1.14,8.42,29.82
M,RETAIL,180,3000,2015-10-30,2016-04-27,38.74015045166016,31.72123336791992,0.24553276052379,0.318208493628134,0.24553276052379,0.0042811097388057,-0.5,-0.1811793966184622,0,14.5,10.04,3.82,0.48,3.03,4.79,1.25,6.28,27.23
BAC,BANK,180,25000,2015-05-11,2015-11-06,14.81065273284912,16.222387313842773,0.212559080370837,0.2466055667450546,0.212559080370837,0.0932558667677989,-0.5,0.0953188631492595,1,26.3,19.75,0.7,1.59,0.58,8.12,0.94,0.36,3.18
COST,RETAIL,6,50,2017-12-04,2017-12-11,179.50094604492188,178.8380889892578,0.1939454137882519,0.1918448060848988,0.1939454137882519,0.0027521216731491,1.96,-0.0036927775049061,0,22.3,27.78,6.29,0.58,6.76,2.09,0.98,7.55,24.48
GM,AUTO,150,1500,2016-02-12,2016-07-11,23.10628700256348,25.76317405700684,0.2426019701109116,0.2647414104979926,0.2426019701109116,0.0168009943115755,-0.2,0.1149854606301997,1,30.6,4.73,5.99,0.34,1.05,7.14,0.98,5.17,26.19
HMC,AUTO,360,500,2017-10-18,2018-10-12,30.459999084472656,27.209999084472656,0.1413819690209933,0.1880175565714136,0.1413819690209933,-0.0090449357207636,1.96,-0.1066973111518156,0,28.5,8.45,3.17,0.36,0.0,4.35,1.23,3.33,8.25
