company,sector,horizon_days,amount,date_BUY_fix,date_SELL_fix,price_BUY,price_SELL,Volatility_Buy,Volatility_sell,Sharpe_Ratio,expected_return_yearly,inflation,nominal_return,investment,ESG_ranking,PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,roa_ratio,roe_ratio
NVDA,TECH,60,1500,2016-01-19,2016-03-18,26.74095344543457,33.20182037353516,0.3486944659504743,0.3662265331690389,0.3486944659504743,0.081060354441318,-0.2,0.2416094452759176,1,12.9,26.56,1.08,3.23,3.46,12.26,2.58,8.52,13.9
TGT,RETAIL,270,500,2016-09-19,2017-06-16,60.239723205566406,47.33041763305664,0.2368280265412286,0.2534249152317521,0.2368280265412286,0.0844186308773674,-0.2,-0.2142988859437005,0,14.8,12.1,5.4,0.56,3.24,4.59,1.05,8.27,26.12
GM,AUTO,3,400,2015-11-13,2015-11-16,28.311580657958984,29.02123260498047,0.248321327215457,0.249488516540651,0.248321327215457,0.0003360198862315,-0.5,0.0250657833483411,1,30.6,9.07,2.73,0.27,1.13,2.97,1.13,2.47,12.6
KO,FMCG,180,50,2014-11-20,2015-05-19,36.101680755615234,34.217613220214844,0.1467813077467242,0.1481805828801727,0.1467813077467242,0.0317663732720592,-0.15,-0.0521878066607008,0,25.1,19.34,1.8,3.37,4.52,17.41,1.08,8.62,23.93
TGT,RETAIL,540,50,2016-04-05,2017-09-27,70.68295288085938,53.55890655517578,0.2209243560551101,0.2606006934490475,0.2209243560551101,0.1688372617547348,-0.2,-0.2422655764615163,0,14.8,12.62,5.42,0.59,3.24,4.61,1.16,8.31,25.5
BAC,BANK,60,20000,2013-12-23,2014-02-21,13.946871757507324,14.480212211608888,0.2373315099887399,0.2179377097135785,0.2373315099887399,0.0310852889225996,1.41,0.0382408660074239,0,26.3,13.71,1.01,1.55,0.63,9.91,0.96,0.47,4.32
UBS,BANK,15,200,2016-06-03,2016-06-17,12.73703956604004,12.659584045410156,0.293307140175959,0.2989073186527912,0.293307140175959,-0.0016231530838157,-0.2,-0.0060811242854577,0,24.8,9.38,1.26,1.2,0.79,12.9,1.15,0.49,8.48
TSLA,AUTO,6,1500,2018-05-03,2018-05-09,56.88999938964844,61.369998931884766,0.4053193200569137,0.400042017687898,0.4053193200569137,0.0084778673166901,1.68,0.0787484547424955,0,31.1,0.0,-2.79,3.56,8.5,-18.77,0.74,-8.51,-41.54
TGT,RETAIL,210,400,2014-10-07,2015-05-05,50.68828201293945,65.99141693115234,0.1856875628566289,0.196951057129661,0.1856875628566289,0.0656589351268413,-0.15,0.3019067585345737,1,14.8,21.3,2.39,0.46,1.97,2.15,1.02,3.4,9.31
WMT,RETAIL,240,3000,2015-04-20,2015-12-16,68.22789764404297,53.79180908203125,0.152324425998408,0.2093158633224892,0.152324425998408,0.0638026675613626,-0.5,-0.2115863020919587,0,27.3,13.71,4.97,0.46,2.75,3.32,0.89,7.9,19.36
DB,BANK,100,15000,2017-02-27,2017-06-07,18.829099655151367,16.98222541809082,0.488077386598665,0.4784025592252476,0.488077386598665,-0.0386113396743303,1.96,-0.0980861682653673,0,30.0,0.0,-1.31,0.55,0.34,-3.43,0.75,-0.08,-2.1
WMT,RETAIL,7,15000,2014-08-18,2014-08-25,64.29340362548828,65.32913970947266,0.1110601696661187,0.1110487613709948,0.1110601696661187,0.0018609111372064,-0.15,0.0161095233037837,1,27.3,12.96,4.87,0.43,2.46,3.3,0.89,7.73,19.76
OR,FMCG,6,50,2018-01-10,2018-01-16,10.7916841506958,11.440521240234377,0.2838089722077233,0.2862936095976851,0.2838089722077233,-0.0010150749741448,1.68,0.0601238027798228,0,20.5,0.0,-0.17,8.56,1.19,-20.12,12.24,-2.22,-2.73
JPM,BANK,80,2000,2016-06-06,2016-08-25,57.10454559326172,58.245513916015625,0.261782709501686,0.2639833965233096,0.261782709501686,0.0333285957384958,-0.2,0.0199803415104758,1,27.9,9.22,5.9,2.0,0.78,21.83,1.03,0.92,8.92
HOG,AUTO,1,300,2017-12-20,2017-12-21,46.26024627685547,47.26372146606445,0.2222737215076074,0.2233697161279479,0.2222737215076074,0.0001221063810287,1.96,0.0216919551876885,0,16.3,15.58,2.98,1.43,4.23,9.23,1.23,5.1,26.93
DB,BANK,600,1500,2016-11-18,2018-07-11,15.299845695495604,10.96031093597412,0.509913055471929,0.3012715361888039,0.509913055471929,-0.2316680380459822,-0.2,-0.2836325833533784,0,30.0,0.0,-1.52,0.41,0.24,-4.11,0.7,-0.09,-2.42
M,RETAIL,7,300,2018-04-24,2018-05-01,26.19342422485352,26.3995361328125,0.4380490258010445,0.4407844722606152,0.4380490258010445,0.0001664876009535,1.68,0.0078688416676509,0,14.5,5.03,5.26,0.31,1.4,6.3,1.52,8.31,32.14
NVDA,TECH,6,15000,2018-08-08,2018-08-14,256.59344482421875,259.58209228515625,0.3637028852991255,0.348988945257251,0.3637028852991255,0.0081060354441318,1.68,0.0116474037868929,0,12.9,35.53,6.85,12.87,16.82,36.22,7.41,37.89,56.73
BBY,RETAIL,1,25000,2016-12-29,2016-12-30,38.77275085449219,38.41265487670898,0.3777702298593735,0.3779182079719775,0.3777702298593735,0.0007186258868664,-0.2,-0.0092873466506048,0,12.0,10.47,3.32,0.29,2.55,2.78,1.35,8.12,25.31
KSS,RETAIL,50,300,2015-04-10,2015-05-29,61.4407958984375,51.32344818115234,0.2224605586403608,0.2615537991421843,0.2224605586403608,0.0009389829759123,-0.5,-0.1646682398777723,0,12.9,13.03,4.29,0.6,1.88,4.56,1.91,6.01,14.72
MSFT,TECH,600,4000,2018-05-10,2019-12-31,94.28822326660156,156.04689025878906,0.2223574222582893,0.1988676296721384,0.2223574222582893,0.3587464430533685,1.68,0.6549987352881156,0,14.7,48.99,1.8,6.48,8.56,14.89,3.4,6.3,18.83
JPM,BANK,20,50000,2017-04-17,2017-05-08,77.10444641113281,78.21798706054688,0.1941571741595991,0.1948595114722638,0.1941571741595991,0.0083321489346239,1.96,0.0144419771004708,0,27.9,12.09,6.49,2.65,1.09,21.82,1.03,0.95,9.35
TSLA,AUTO,30,4000,2017-10-13,2017-11-13,71.11399841308594,63.08000183105469,0.3475804726295889,0.3571155517195505,0.3475804726295889,0.0423893365834509,1.96,-0.1129734899079009,0,31.1,0.0,-1.71,5.08,9.92,-13.07,1.09,-5.52,-24.11
JPM,BANK,270,15000,2015-09-04,2016-05-31,52.66670227050781,57.095802307128906,0.212286687012504,0.2616726974671753,0.212286687012504,0.1124840106174235,-0.5,0.084096779287077,1,27.9,8.91,5.86,1.94,0.78,21.81,1.02,0.88,9.21
MSFT,TECH,100,20000,2017-07-28,2017-11-06,69.29031372070312,80.56047821044922,0.1432258052586409,0.1492115794526632,0.1432258052586409,0.059791073842228,1.96,0.1626513705100847,0,14.7,24.3,2.7,5.32,5.77,26.39,2.92,11.17,34.37
AMZN,TECH,100,300,2017-10-19,2018-01-26,986.6099853515624,1402.050048828125,0.191109826743702,0.2071925469103571,0.191109826743702,0.0900788283907908,1.96,0.4210783081913844,0,27.4,244.0,3.94,2.92,18.79,1.2,1.03,2.1,8.67
BAC,BANK,4,50000,2015-09-01,2015-09-04,14.03529930114746,14.143746376037598,0.2359233882377019,0.2370432768396307,0.2359233882377019,0.0020723525948399,-0.5,0.0077267376037553,1,26.3,15.98,0.96,1.76,0.64,11.05,0.94,0.49,4.26
SC,BANK,80,50,2018-01-03,2018-03-23,16.53739356994629,14.249274253845217,0.26777084694736,0.2587612120832371,0.26777084694736,0.0025182795373781,1.68,-0.138360335105002,0,26.9,5.12,3.3,0.86,0.94,16.47,0.89,2.99,20.01
AXP,BANK,60,2000,2015-09-09,2015-11-09,68.70963287353516,67.40886688232422,0.2150669807390771,0.2150753920277695,0.2150669807390771,0.024202500743147,-0.5,-0.0189313482958799,0,19.8,12.27,5.53,1.97,3.13,15.98,2.02,3.59,26.2
NVDA,TECH,90,2000,2015-09-14,2015-12-14,22.11697769165039,31.868019104003903,0.3164978463658414,0.3400088460937284,0.3164978463658414,0.121590531661977,-0.5,0.4408848961327448,1,12.9,20.41,0.95,2.28,2.5,11.0,5.99,7.42,12.12
SC,BANK,40,1000,2017-12-27,2018-02-05,16.510587692260742,14.759465217590332,0.2696087554133455,0.2614256621402884,0.2696087554133455,0.001259139768689,1.96,-0.1060605780550888,0,26.9,5.12,3.3,0.86,0.94,16.47,0.89,2.99,20.01
MSFT,TECH,30,4000,2016-11-03,2016-12-02,55.14111709594727,55.55112457275391,0.2292631510112029,0.2315664255163607,0.2292631510112029,0.0179373221526684,-0.2,0.0074356033827391,1,14.7,25.88,2.08,4.64,5.95,22.98,2.69,11.1,28.99
M,RETAIL,120,300,2016-11-04,2017-03-03,29.140323638916016,25.360076904296875,0.4025691786878046,0.3964281670204966,0.4025691786878046,0.0028540731592038,-0.2,-0.1297256262991786,0,14.5,13.11,2.18,0.35,2.3,2.63,1.22,3.37,16.94
GM,AUTO,480,1000,2017-02-10,2018-06-05,30.76287841796875,39.9407844543457,0.2583339724903551,0.2588027006049094,0.2583339724903551,0.0537631817970416,1.96,0.2983435396284664,0,30.6,5.08,6.0,0.32,1.04,6.32,0.9,4.42,21.62
TSLA,AUTO,90,50,2014-04-29,2014-07-28,41.38399887084961,44.9640007019043,0.6888187561485651,0.5701039657491852,0.6888187561485651,0.1271680097503528,-0.15,0.0865069091613666,1,31.1,0.0,-0.22,12.16,28.35,-6.52,2.23,-4.92,-19.48
KSS,RETAIL,300,50,2015-09-15,2016-07-11,40.18603515625,32.49715805053711,0.2854850968520169,0.4027643460810637,0.2854850968520169,0.005633897855474,-0.5,-0.1913320653758763,0,12.9,12.61,3.82,0.51,1.66,4.02,1.73,5.28,13.06
OR,FMCG,20,5000,2018-03-16,2018-04-05,9.045549392700195,9.168478965759276,0.3000316751621432,0.3000931640605118,0.3000316751621432,-0.0033835832471495,1.68,0.0135900615564917,0,20.5,0.0,-0.19,5.16,0.97,-13.6,12.83,-1.99,-2.52
TGT,RETAIL,10,5000,2018-01-17,2018-01-26,70.6143569946289,70.73385620117188,0.313919632280694,0.3071301214862345,0.313919632280694,0.003126615958421,1.68,0.0016922791855494,0,14.8,12.91,5.35,0.52,3.21,4.01,0.96,7.31,26.03
PG,FMCG,540,20000,2014-02-27,2015-08-21,63.655029296875,61.28816223144531,0.163235121080182,0.1365165005710153,0.163235121080182,0.1142906548252047,-0.15,-0.0371827189708933,0,25.1,17.58,3.74,2.32,2.54,12.94,0.89,7.62,15.55
SC,BANK,70,500,2017-06-15,2017-08-24,10.461430549621582,12.227296829223633,0.3725399648549484,0.3347269033141268,0.3725399648549484,0.0022034945952058,1.96,0.1687977826001939,0,26.9,6.09,1.9,0.59,0.73,9.66,0.91,1.75,12.73
GM,AUTO,120,1000,2018-01-22,2018-05-22,39.42932891845703,35.220760345458984,0.2065216957372206,0.2282303954363834,0.2065216957372206,0.0134407954492604,1.68,-0.106737007411455,0,30.6,0.0,-2.89,0.39,1.44,-2.67,0.89,-1.7,-9.04
MSFT,TECH,5,3000,2017-11-27,2017-12-01,80.38994598388672,80.76376342773438,0.1428527958732981,0.1426398926170072,0.1428527958732981,0.0029895536921114,1.96,0.0046500521834233,0,14.7,24.24,2.94,5.62,6.14,26.62,3.12,11.13,33.43
HOG,AUTO,120,50,2018-02-13,2018-06-13,43.43624877929688,41.08320617675781,0.2616270865196258,0.2600253246800968,0.2616270865196258,0.0146527657234491,1.68,-0.0541723253887568,0,16.3,15.58,2.98,1.43,4.23,9.23,1.23,5.1,26.93
AAPL,TECH,5,10000,2014-04-30,2014-05-05,18.914810180664062,19.26323699951172,0.2448535900951427,0.2445277406099622,0.2448535900951427,0.0033666044803897,-0.15,0.0184208467079326,1,16.5,11.51,1.49,2.48,3.45,21.42,1.63,18.0,30.36
GM,AUTO,300,20000,2014-10-29,2015-08-25,24.365257263183597,22.237045288085938,0.2436471256947223,0.2471715476585673,0.2436471256947223,0.033601988623151,-0.15,-0.0873461729588806,0,30.6,16.35,1.55,0.27,0.93,1.73,1.29,1.56,6.29
KSS,RETAIL,30,5000,2014-12-05,2015-01-05,44.1389274597168,46.13285827636719,0.2232526625735977,0.2284284886059108,0.2232526625735977,0.0005633897855474,-0.15,0.0451739752505346,1,12.9,10.47,3.99,0.47,1.46,4.43,1.66,5.79,14.21
F,AUTO,10,20000,2016-01-21,2016-02-01,9.145600318908691,9.501282691955566,0.2275970864027475,0.2291479306058269,0.2275970864027475,-0.0003281346707482,-0.2,0.0388910908681954,1,29.7,6.5,1.65,0.29,1.51,4.93,1.25,3.38,27.44
HOG,AUTO,420,3000,2017-02-22,2018-04-18,51.36629104614258,38.51807403564453,0.3386989796835054,0.255577232800059,0.3386989796835054,0.0512846800320719,1.96,-0.2501293503740894,0,16.3,13.55,3.82,1.57,4.74,11.52,1.35,6.75,35.32
WMT,RETAIL,50,25000,2018-08-09,2018-09-28,85.34490203857422,90.04315185546875,0.2293880600420375,0.2459938918320245,0.2293880600420375,0.0132922224086172,1.68,0.0550501518505582,0,27.3,48.88,1.74,0.5,3.38,1.02,0.93,2.52,6.67
BBY,RETAIL,600,1000,2014-03-17,2015-11-06,21.04458999633789,30.25300407409668,0.5384127975239547,0.3409634752095994,0.5384127975239547,0.4311755321198475,-0.15,0.4375668083512773,1,12.0,12.51,1.52,0.16,1.65,1.31,1.41,3.75,14.3
GOOG,TECH,360,500,2017-04-10,2018-04-05,824.72998046875,1027.81005859375,0.1625244739199041,0.2128559951053052,0.1625244739199041,0.1887568095779812,1.96,0.2462382633520559,0,22.8,28.08,29.54,6.54,3.96,21.84,7.13,12.65,15.16
PG,FMCG,660,100,2015-09-18,2017-07-10,59.66724395751953,78.6407699584961,0.1540484085796176,0.1255135524702358,0.1540484085796176,0.1396885781196947,-0.5,0.3179889792544278,1,25.1,23.06,2.66,2.53,2.65,10.77,1.13,5.71,11.82
JPM,BANK,330,300,2016-11-07,2017-10-03,62.05213928222656,87.90361022949219,0.2458771818752052,0.1726636244313091,0.2458771818752052,0.1374804574212954,-0.2,0.416608859038486,1,27.9,10.12,5.8,2.1,0.83,20.86,1.04,0.89,8.66
PG,FMCG,210,500,2017-03-24,2017-10-20,81.16167449951172,80.91525268554688,0.1345840955635318,0.1231170812569901,0.1345840955635318,0.0444463657653574,1.96,-0.0030361844489337,0,25.1,14.74,5.46,3.43,3.77,22.76,0.89,12.06,26.31
JPM,BANK,2,300,2017-04-19,2017-04-21,75.84719848632812,75.90109252929688,0.1939263567881708,0.1939554346570111,0.1939263567881708,0.0008332148934623,1.96,0.0007105607595838,0,27.9,12.09,6.49,2.65,1.09,21.82,1.03,0.95,9.35
M,RETAIL,420,300,2016-08-03,2017-09-27,26.15554428100586,18.498104095458984,0.368342957395691,0.4068119981662586,0.368342957395691,0.0099892560572135,-0.2,-0.2927654688917219,0,14.5,11.15,2.49,0.34,2.11,2.99,1.32,3.83,19.21
PG,FMCG,150,10000,2014-08-18,2015-01-15,68.19163513183594,74.89927673339844,0.1273676339493518,0.1175507029277934,0.1273676339493518,0.0317474041181124,-0.15,0.0983645807670473,1,25.1,16.07,4.01,2.52,2.5,15.31,0.94,7.97,16.33
TGT,RETAIL,40,200,2014-11-25,2015-01-05,59.84291076660156,61.403316497802734,0.2047350944612354,0.2043646899024216,0.2047350944612354,0.012506463833684,-0.15,0.0260750306295601,1,14.8,21.3,2.39,0.46,1.97,2.15,1.02,3.4,9.31
AMZN,TECH,7,15000,2016-02-29,2016-03-07,552.52001953125,562.7999877929688,0.3525711783237965,0.3551730619001237,0.3525711783237965,0.0063055179873553,-0.2,0.0186056032330559,1,27.4,545.07,1.24,3.0,23.79,0.56,1.05,1.07,4.92
AAPL,TECH,60,4000,2014-06-02,2014-08-01,20.26336097717285,21.69000625610352,0.2395396888862896,0.2314303953275852,0.2395396888862896,0.0403992537646774,-0.15,0.0704051652900924,1,16.5,13.55,1.55,2.95,4.15,21.64,1.47,17.92,31.2
FB,TECH,80,1000,2018-03-14,2018-06-01,184.19000244140625,193.9900054931641,0.2087964332298829,0.2625269386580151,0.2087964332298829,0.0661082142724424,1.68,0.0532059445239181,0,31.6,26.46,6.04,10.58,5.97,40.03,9.91,21.88,24.65
MSFT,TECH,360,1000,2013-11-14,2014-11-10,32.6273307800293,43.15910339355469,0.2523484794061436,0.1856534876994137,0.2523484794061436,0.2152478658320211,1.41,0.3227898930663286,0,14.7,10.66,2.69,3.01,2.93,28.17,2.87,16.54,29.23
PG,FMCG,300,3000,2017-10-18,2018-08-14,84.42691802978516,76.50361633300781,0.1189150251187894,0.1518015698336494,0.1189150251187894,0.0634948082362248,1.96,-0.0938480508548477,0,25.1,14.54,5.69,3.45,3.79,23.34,0.91,12.73,27.74
SC,BANK,80,10000,2015-10-16,2016-01-04,18.81808853149414,14.082351684570312,0.3025993323674022,0.3378056696181091,0.3025993323674022,0.0025182795373781,-0.5,-0.2516587611434632,0,26.9,6.36,2.91,1.04,1.49,15.64,0.94,2.86,24.91
BAC,BANK,150,400,2016-05-02,2016-09-29,13.43696117401123,13.902950286865234,0.3092210578493733,0.3186606887166598,0.3092210578493733,0.0777132223064991,-0.2,0.0346796501693616,1,26.3,9.39,1.31,1.47,0.48,15.77,0.93,0.68,5.74
TGT,RETAIL,40,400,2014-05-16,2014-06-25,47.51709747314453,47.394657135009766,0.181743578512349,0.1775946161091132,0.181743578512349,0.012506463833684,-0.15,-0.0025767638312497,0,14.8,16.91,2.96,0.45,1.92,2.65,0.92,4.22,11.66
HOG,AUTO,30,200,2016-09-21,2016-10-21,46.22319793701172,49.70624542236328,0.38440780054884,0.3626191284471152,0.38440780054884,0.0036631914308622,-0.2,0.0753528020734936,1,16.3,12.3,3.77,1.42,4.11,11.31,1.61,6.69,35.42
FB,TECH,660,1500,2014-03-27,2016-01-15,60.970001220703125,94.97000122070312,0.4611612638620399,0.266587378492993,0.4611612638620399,0.5453927677476498,-0.15,0.557651292755016,1,31.6,80.32,0.75,17.17,9.19,21.46,13.56,11.32,13.28
DB,BANK,360,10000,2015-07-17,2016-07-11,31.78251838684082,12.78994083404541,0.2947306316871427,0.4573934297060522,0.2947306316871427,-0.1390008228275893,-0.5,-0.5975793774938573,0,30.0,26.28,1.12,0.74,0.48,3.49,0.71,0.09,2.09
M,RETAIL,70,200,2017-06-06,2017-08-15,17.692218780517578,16.669504165649414,0.4171752353645561,0.4009841767534592,0.4171752353645561,0.0016648760095355,1.96,-0.0578058991670599,0,14.5,12.64,1.85,0.28,1.63,2.24,1.36,2.92,14.26
GOOG,TECH,120,2000,2018-09-26,2019-01-24,1180.489990234375,1073.9000244140625,0.230203454062591,0.2891506551449918,0.230203454062591,0.0629189365259937,1.68,-0.090292985711086,0,22.8,44.9,26.58,6.9,4.89,14.45,4.14,8.97,11.64
OR,FMCG,90,500,2017-10-04,2018-01-02,12.475080490112305,11.011143684387209,0.3134058267163176,0.2914977501514014,0.3134058267163176,-0.0152261246121729,1.96,-0.1173488865971973,0,20.5,58.45,0.21,16.74,1.25,24.18,6.18,1.74,2.05
AXP,BANK,20,200,2016-06-20,2016-07-11,57.727783203125,57.887996673583984,0.2446600330678923,0.2564247417994778,0.2446600330678923,0.0080675002477156,-0.2,0.0027753269148625,1,19.8,9.96,5.68,1.6,2.53,15.85,1.98,3.46,26.27
PG,FMCG,540,5000,2017-12-04,2019-05-28,83.81260681152344,100.64337921142578,0.1100814228893818,0.1857739046330349,0.1100814228893818,0.1142906548252047,1.96,0.2008143290155756,0,25.1,22.52,3.74,3.46,3.88,14.97,0.94,8.06,17.85
PEP,FMCG,360,1500,2015-03-20,2016-03-14,80.49386596679688,87.49261474609375,0.1344548674852189,0.1515550058030148,0.1344548674852189,0.0783158083517795,-0.5,0.0869476039600807,1,17.6,18.81,4.29,1.86,7.47,9.82,1.04,8.65,32.41
M,RETAIL,2,1000,2014-04-10,2014-04-11,42.73279571533203,41.87180709838867,0.2306469568239597,0.2316337043580277,0.2306469568239597,4.756788598673097e-05,-0.15,-0.0201481930337276,0,14.5,10.59,3.95,0.57,2.47,5.37,1.67,6.96,25.26
DB,BANK,660,50000,2017-08-08,2019-05-30,17.497722625732422,6.909999847412109,0.4066576757421479,0.365101466069007,0.4066576757421479,-0.2548348418505804,1.96,-0.6050914741756075,0,30.0,0.0,-0.77,0.62,0.46,-1.63,0.79,-0.04,-0.96
AAPL,TECH,480,400,2015-01-23,2016-05-17,25.72978973388672,21.90401077270508,0.2227226434324449,0.2815851346332156,0.2227226434324449,0.3231940301174199,-0.5,-0.1486906422769169,0,16.5,13.55,1.86,3.03,4.75,22.25,1.13,19.28,37.36
BBY,RETAIL,270,15000,2017-09-21,2018-06-18,49.51115417480469,72.00720977783203,0.3816889486046038,0.3225201244862749,0.3816889486046038,0.1940289894539313,1.96,0.4543633849375131,0,12.0,14.03,3.79,0.42,3.67,3.0,1.42,8.75,26.9
TSLA,AUTO,50,2000,2014-11-07,2014-12-26,48.040000915527344,45.56399917602539,0.5205873355937418,0.4789161840610238,0.5205873355937418,0.0706488943057515,-0.15,-0.0515404182413674,0,31.1,0.0,-0.33,10.47,31.75,-7.11,1.83,-4.66,-23.27
TGT,RETAIL,5,4000,2014-08-08,2014-08-13,47.7864875793457,47.55791091918945,0.1880213494503136,0.1878360158288558,0.1880213494503136,0.0015633079792105,-0.15,-0.0047832906692863,0,14.8,20.44,2.38,0.44,1.88,2.13,1.02,3.38,9.27
TSLA,AUTO,540,200,2014-10-01,2016-03-24,48.04800033569336,45.54999923706055,0.5517212184055234,0.4337987703708845,0.5517212184055234,0.7630080585021171,-0.15,-0.0519896994917627,0,31.1,0.0,-0.33,10.47,31.75,-7.11,1.83,-4.66,-23.27
TSLA,AUTO,6,4000,2016-07-25,2016-08-01,46.00199890136719,46.00199890136719,0.4517940910422827,0.4477049420315055,0.4517940910422827,0.0084778673166901,-0.2,0.0,0,31.1,0.0,-1.69,6.16,12.47,-24.63,1.38,-12.27,-76.41
TSLA,AUTO,4,200,2017-02-22,2017-02-27,54.70199966430664,49.24599838256836,0.3333360940838877,0.3396892492926488,0.3333360940838877,0.0056519115444601,1.96,-0.0997404357285013,0,31.1,0.0,-0.97,4.43,6.23,-9.63,1.07,-4.79,-23.03
F,AUTO,15,10000,2018-06-13,2018-06-28,10.736649513244627,10.07565689086914,0.2096074761865626,0.2104036785831912,0.2096074761865626,-0.0004922020061224,1.68,-0.061564142664813,0,29.7,5.85,1.69,0.25,1.1,4.35,1.21,2.66,19.45
HMC,AUTO,60,1500,2014-02-27,2014-04-28,36.43000030517578,32.68000030517578,0.2144535954933791,0.2042738310926481,0.2144535954933791,-0.0015074892867939,-0.15,-0.1029371388577018,0,28.5,12.98,2.69,0.53,1.05,4.1,1.27,3.16,8.21
BAC,BANK,4,4000,2018-04-18,2018-04-23,27.714975357055664,28.456418991088867,0.2295876994041642,0.229523215176653,0.2295876994041642,0.0020723525948399,1.68,0.0267524551070707,0,26.3,15.99,1.76,2.97,1.08,18.01,0.92,0.8,6.79
BAC,BANK,20,1500,2015-04-16,2015-05-06,14.181940078735352,14.631020545959473,0.224028060305833,0.2127769673799516,0.224028060305833,0.0103617629741998,-0.5,0.0316656582055004,1,26.3,19.75,0.7,1.59,0.58,8.12,0.94,0.36,3.18
BAC,BANK,1,1500,2016-10-14,2016-10-14,14.673300743103027,14.673300743103027,0.3189879043543289,0.3189879043543289,0.3189879043543289,0.0005180881487099,-0.2,0.0,0,26.3,11.39,1.26,1.71,0.54,15.7,0.92,0.67,5.54
WMT,RETAIL,120,1500,2016-02-22,2016-06-21,58.54653549194336,64.68941497802734,0.2147679583140992,0.2362243436849307,0.2147679583140992,0.0319013337806813,-0.2,0.1049230229332581,1,27.3,12.95,4.57,0.4,2.24,3.05,0.93,7.31,17.9
TGT,RETAIL,15,25000,2017-07-28,2017-08-11,50.479190826416016,50.06534957885742,0.2588325003748679,0.2594646184549458,0.2588325003748679,0.0046899239376315,1.96,-0.0081982543852907,0,14.8,10.27,4.96,0.41,2.52,3.92,0.92,7.23,25.16
COST,RETAIL,360,200,2014-05-07,2015-05-01,94.56468963623048,128.60997009277344,0.1497653288417152,0.1544283135664503,0.1497653288417152,0.1651273003889481,-0.15,0.3600210669279163,1,22.3,21.94,4.48,0.4,3.59,1.8,1.19,6.24,17.14
HOG,AUTO,270,300,2016-02-12,2016-11-08,33.64611053466797,50.26177215576172,0.3056022271639569,0.3600629620409403,0.3056022271639569,0.0329687228777605,-0.2,0.493836029099811,1,16.3,10.8,3.62,1.35,3.93,12.54,1.45,7.25,29.03
PG,FMCG,600,1000,2017-02-17,2018-10-10,81.62764739990234,76.62593078613281,0.1387127853822856,0.1553405608381421,0.1387127853822856,0.1269896164724497,1.96,-0.0612747858487896,0,25.1,13.59,5.5,3.22,3.55,23.06,0.89,12.01,26.1
NVDA,TECH,150,4000,2018-06-11,2018-11-08,258.7778015136719,204.6458740234375,0.3716372604639066,0.4108551591317245,0.3716372604639066,0.2026508861032951,1.68,-0.2091830411016705,0,12.9,37.17,6.01,12.81,17.57,34.45,8.54,36.1,55.01
AAPL,TECH,50,500,2016-06-13,2016-08-02,22.80603408813477,24.4788818359375,0.2821468596860036,0.2850693311006383,0.2821468596860036,0.0336660448038979,-0.2,0.0733511026659853,1,16.5,10.47,2.14,2.28,3.82,21.7,1.31,16.01,37.89
COST,RETAIL,30,50,2016-05-13,2016-06-13,129.23497009277344,138.58096313476562,0.1916054965701496,0.1957038552498836,0.1916054965701496,0.0137606083657456,-0.2,0.0723178334415446,1,22.3,25.12,5.3,0.5,4.97,1.98,0.97,6.94,20.83
AAPL,TECH,720,2000,2015-04-10,2017-03-30,29.059680938720703,34.226219177246094,0.2257677378565738,0.1968349321772252,0.2257677378565738,0.4847910451761298,-0.5,0.1777906044261213,1,16.5,14.06,2.02,3.19,5.08,22.53,1.16,19.56,39.44
WMT,RETAIL,1,25000,2017-08-07,2017-08-08,75.66455078125,75.95311737060547,0.1538601377232495,0.1537759013549618,0.1538601377232495,0.0002658444481723,1.96,0.0038137620110866,0,27.3,17.9,4.16,0.47,2.82,2.6,0.78,6.31,16.1
GOOG,TECH,300,1000,2015-10-19,2016-08-15,666.0999755859375,782.4400024414062,0.275825121869962,0.25221425376034,0.275825121869962,0.1572973413149843,-0.5,0.174658506409837,1,22.8,26.74,22.75,6.3,3.6,21.59,4.77,11.36,14.08
KSS,RETAIL,210,50,2018-03-21,2018-10-17,56.99681091308594,64.32807922363281,0.3452072097705569,0.3483416164706945,0.3452072097705569,0.0039437284988318,1.68,0.1286259387692107,0,12.9,11.12,5.14,0.48,1.77,4.28,1.99,6.4,16.8
NVDA,TECH,270,200,2015-05-18,2016-02-12,20.55084991455078,25.175439834594727,0.2732237407612967,0.3492366371272539,0.2732237407612967,0.3647715949859312,-0.5,0.225031565082355,1,12.9,19.17,1.12,2.56,2.54,13.28,6.61,8.87,14.37
AXP,BANK,210,300,2015-10-23,2016-05-20,68.48307037353516,59.2288932800293,0.2164324352782158,0.2402211652899878,0.2164324352782158,0.0847087526010147,-0.5,-0.135130873119878,0,19.8,12.27,5.53,1.97,3.13,15.98,2.02,3.59,26.2
HOG,AUTO,90,50000,2017-06-12,2017-09-11,47.840240478515625,43.08525848388672,0.3212208126233071,0.2299167426761001,0.3212208126233071,0.0109895742925868,1.96,-0.099392936721635,0,16.3,14.11,3.44,1.53,4.05,10.72,1.27,5.93,30.49
KO,FMCG,2,300,2016-08-30,2016-09-01,37.27385330200195,37.36867141723633,0.1472064043581681,0.1464670956855672,0.1472064043581681,0.0003529597030228,-0.2,0.0025438238023349,1,25.1,22.46,1.74,3.97,6.28,17.61,1.21,8.27,29.3
